종목코드,종목명,ESG등급,환경,사회,지배구조,평가년도,ESG등급_ca,환경_ca,사회_ca,지배구조_ca
003640,유니온스틸,B이하,B,B이하,B+,2014,2.0,3.0,2.0,5.0
003640,유니온스틸,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
003640,유니온스틸,B이하,B,B이하,B+,2012,2.0,3.0,2.0,5.0
003640,유니온스틸,,C,,B이하,2011,,1.0,,2.0
064420,케이피케미칼,A,B+,A,A,2012,6.0,5.0,6.0,6.0
064420,케이피케미칼,B이하,B,B이하,B이하,2011,2.0,3.0,2.0,2.0
053000,우리금융지주,A,A+,A+,A,2021,6.0,7.0,7.0,6.0
053000,우리금융지주,A,A+,A,B+,2014,6.0,7.0,6.0,5.0
053000,우리금융지주,B+,A,B+,B이하,2013,5.0,6.0,5.0,2.0
053000,우리금융지주,A,A+,A,B이하,2012,6.0,7.0,6.0,2.0
053000,우리금융지주,B+,A,B+,B+,2011,5.0,6.0,5.0,5.0
068870,LG생명과학,B+,B+,A,B+,2016,5.0,5.0,6.0,5.0
068870,LG생명과학,B+,B+,B+,B+,2015,5.0,5.0,5.0,5.0
068870,LG생명과학,B+,B+,B+,B이하,2014,5.0,5.0,5.0,2.0
068870,LG생명과학,B+,B+,B+,B+,2013,5.0,5.0,5.0,5.0
068870,LG생명과학,B+,B+,B+,B+,2012,5.0,5.0,5.0,5.0
068870,LG생명과학,B+,B+,B+,A,2011,5.0,5.0,5.0,6.0
037620,미래에셋증권,B+,A,A+,B,2021,5.0,6.0,7.0,3.0
037620,미래에셋증권,B+,A,B+,B이하,2016,5.0,6.0,5.0,2.0
037620,미래에셋증권,B이하,B+,B+,B이하,2015,2.0,5.0,5.0,2.0
037620,미래에셋증권,B+,B+,B+,B이하,2014,5.0,5.0,5.0,2.0
037620,미래에셋증권,B+,B+,B+,B이하,2013,5.0,5.0,5.0,2.0
037620,미래에셋증권,B이하,B+,B+,B이하,2012,2.0,5.0,5.0,2.0
037620,미래에셋증권,B이하,B,B이하,,2011,2.0,3.0,2.0,
000830,삼성물산,A,A,A+,A,2021,6.0,6.0,7.0,6.0
000830,삼성물산,A+,A,A+,A+,2018,7.0,6.0,7.0,7.0
000830,삼성물산,A,A,A+,A,2017,6.0,6.0,7.0,6.0
000830,삼성물산,A+,A+,A+,A,2016,7.0,7.0,7.0,6.0
000830,삼성물산,B+,B,B+,A,2015,5.0,3.0,5.0,6.0
000830,삼성물산,B이하,D,B이하,B+,2015,2.0,0.0,2.0,5.0
000830,삼성물산,B+,B,A,A,2014,5.0,3.0,6.0,6.0
000830,삼성물산,A,B+,A,A,2013,6.0,5.0,6.0,6.0
000830,삼성물산,A,B+,A,A,2012,6.0,5.0,6.0,6.0
000830,삼성물산,A+,B+,A+,A,2011,7.0,5.0,7.0,6.0
025850,한화화인케미칼,B이하,B,B이하,B+,2015,2.0,3.0,2.0,5.0
025850,한화화인케미칼,B이하,B,B이하,B+,2014,2.0,3.0,2.0,5.0
025850,한화화인케미칼,B이하,B,B이하,B이하,2013,2.0,3.0,2.0,2.0
025850,한화화인케미칼,B이하,B,B이하,B이하,2012,2.0,3.0,2.0,2.0
025850,한화화인케미칼,B이하,B,B이하,B이하,2011,2.0,3.0,2.0,2.0
010520,현대하이스코,B+,B+,B이하,B+,2014,5.0,5.0,2.0,5.0
010520,현대하이스코,B+,B+,B+,B+,2013,5.0,5.0,5.0,5.0
010520,현대하이스코,B+,B+,B이하,B+,2012,5.0,5.0,2.0,5.0
010520,현대하이스코,B이하,B+,B이하,B이하,2011,2.0,5.0,2.0,2.0
001300,제일모직,A,B+,A,A,2014,6.0,5.0,6.0,6.0
001300,제일모직,A,A,B+,A,2013,6.0,6.0,5.0,6.0
001300,제일모직,A,A,A,A,2012,6.0,6.0,6.0,6.0
001300,제일모직,A,A,A,A+,2011,6.0,6.0,6.0,7.0
003600,SK,A+,A+,A+,A+,2021,7.0,7.0,7.0,7.0
003600,SK,A+,A+,A+,A,2018,7.0,7.0,7.0,6.0
003600,SK,A+,A+,A+,A,2017,7.0,7.0,7.0,6.0
003600,SK,A,A,A+,A,2016,6.0,6.0,7.0,6.0
003600,SK,A,A,A,A,2015,6.0,6.0,6.0,6.0
003600,SK,B이하,C,B+,B이하,2014,2.0,1.0,5.0,2.0
003600,SK,A,B,A,A+,2014,6.0,3.0,6.0,7.0
003600,SK,B이하,B,B+,B이하,2013,2.0,3.0,5.0,2.0
003600,SK,A,B+,A+,A,2013,6.0,5.0,7.0,6.0
003600,SK,B+,B+,B+,B이하,2012,5.0,5.0,5.0,2.0
003600,SK,A,B+,A,A,2012,6.0,5.0,6.0,6.0
003600,SK,B이하,B+,B이하,B이하,2011,2.0,5.0,2.0,2.0
003600,SK,B이하,B+,B이하,,2011,2.0,5.0,2.0,
008000,도레이케미칼,B이하,C,B+,B+,2017,2.0,1.0,5.0,5.0
008000,도레이케미칼,B이하,C,B+,B+,2016,2.0,1.0,5.0,5.0
008000,도레이케미칼,B이하,C,B+,B+,2015,2.0,1.0,5.0,5.0
008000,도레이케미칼,B+,B,B+,B+,2014,5.0,3.0,5.0,5.0
008000,도레이케미칼,B이하,C,B+,B+,2013,2.0,1.0,5.0,5.0
008000,도레이케미칼,B이하,C,B+,B+,2012,2.0,1.0,5.0,5.0
008000,도레이케미칼,A,B,A,A,2011,6.0,3.0,6.0,6.0
004130,대덕GDS,B+,B,B+,B+,2018,5.0,3.0,5.0,5.0
004130,대덕GDS,B이하,B,B이하,B+,2017,2.0,3.0,2.0,5.0
004130,대덕GDS,B+,B+,B이하,B+,2016,5.0,5.0,2.0,5.0
004130,대덕GDS,B이하,C,B이하,B+,2015,2.0,1.0,2.0,5.0
004130,대덕GDS,B이하,B,B이하,B+,2014,2.0,3.0,2.0,5.0
004130,대덕GDS,B이하,B,B이하,B+,2013,2.0,3.0,2.0,5.0
004130,대덕GDS,B이하,B,B이하,B+,2012,2.0,3.0,2.0,5.0
004130,대덕GDS,B이하,B,B이하,A,2011,2.0,3.0,2.0,6.0
192820,코스맥스,A,A,A,B+,2021,6.0,6.0,6.0,5.0
192820,코스맥스,B이하,B,B이하,B이하,2018,2.0,3.0,2.0,2.0
192820,코스맥스,B이하,B,B이하,B이하,2017,2.0,3.0,2.0,2.0
192820,코스맥스,B이하,B,B이하,B이하,2016,2.0,3.0,2.0,2.0
011810,STX,B,D,B,B+,2021,3.0,0.0,3.0,5.0
011810,STX,B이하,B,B이하,B이하,2018,2.0,3.0,2.0,2.0
011810,STX,B이하,B,B+,B이하,2017,2.0,3.0,5.0,2.0
011810,STX,B이하,C,B+,B이하,2016,2.0,1.0,5.0,2.0
011810,STX,B+,B,B+,B+,2013,5.0,3.0,5.0,5.0
011810,STX,B+,B,B+,B+,2012,5.0,3.0,5.0,5.0
011810,STX,B+,B+,B+,B+,2011,5.0,5.0,5.0,5.0
010780,아이에스동서,B+,B,B+,B+,2021,5.0,3.0,5.0,5.0
010780,아이에스동서,B이하,C,B이하,B이하,2018,2.0,1.0,2.0,2.0
010780,아이에스동서,B이하,B,B이하,B이하,2017,2.0,3.0,2.0,2.0
010780,아이에스동서,B이하,B,B이하,B이하,2016,2.0,3.0,2.0,2.0
010780,아이에스동서,B이하,C,B이하,B이하,2015,2.0,1.0,2.0,2.0
010780,아이에스동서,B이하,B,B이하,B이하,2014,2.0,3.0,2.0,2.0
010780,아이에스동서,B이하,C,B이하,B이하,2013,2.0,1.0,2.0,2.0
010780,아이에스동서,B이하,C,B이하,B이하,2012,2.0,1.0,2.0,2.0
010780,아이에스동서,B이하,C,B이하,B이하,2011,2.0,1.0,2.0,2.0
003570,SNT중공업,B,B,C,B,2021,3.0,3.0,1.0,3.0
103130,웅진에너지,B이하,B,B이하,B+,2018,2.0,3.0,2.0,5.0
103130,웅진에너지,B+,B,B이하,A,2017,5.0,3.0,2.0,6.0
103130,웅진에너지,B이하,C,B이하,A,2016,2.0,1.0,2.0,6.0
103130,웅진에너지,B이하,C,B이하,B+,2015,2.0,1.0,2.0,5.0
103130,웅진에너지,B+,B,B이하,A,2014,5.0,3.0,2.0,6.0
