기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도
AJ네트웍스,95570,B,D,B,B,2021
AK홀딩스,6840,B+,B,B+,B+,2021
AP시스템,265520,D,D,D,C,2021
BGF,27410,A,A,A+,A,2021
BGF리테일,282330,A,A,A+,A,2021
BNK금융지주,138930,A+,A,A+,A+,2021
BNK캐피탈,801190,,,,B+,2021
BYC,1460,B,D,B,B+,2021
CJ,1040,A,B+,A+,A,2021
CJ CGV,79160,A,B,A,A,2021
CJ ENM,35760,A,B,A+,A,2021
CJ대한통운,120,A,A,A+,A,2021
CJ씨푸드,11150,B,C,B+,B+,2021
CJ제일제당,97950,A,A,A+,A,2021
CJ프레시웨이,51500,A,B,A,A,2021
CMG제약,58820,C,D,C,C,2021
CS홀딩스,590,B,D,C,B+,2021
DB,12030,B,D,B+,B+,2021
DB금융투자,16610,B,D,B+,B,2021
DB생명보험,818158,,,,B+,2021
DB손해보험,5830,A,A,A+,B+,2021
DB하이텍,990,A,A,A,A,2021
DGB금융지주,139130,A+,A,A+,A+,2021
DGB생명보험,813363,,,,B+,2021
DL,210,A,A+,A+,B+,2021
DL건설,1880,B+,B+,A,B+,2021
DRB동일,4840,B+,B,B+,B+,2021
DSR,155660,B,B,B,B,2021
DSR제강,69730,C,C,C,B+,2021
E1,17940,B+,B+,A,B+,2021
F&F 홀딩스,7700,B+,B+,A,B+,2021
GKL,114090,B+,B+,B+,B+,2021
GS,78930,A,A,A,A,2021
GS건설,6360,A,A,A+,A,2021
GS글로벌,1250,B+,B,B+,A,2021
GS리테일,7070,A,A,A,A,2021
HDC,12630,B+,B,B+,A,2021
HDC아이콘트롤스,39570,B,C,B,B+,2021
HDC현대EP,89470,B+,B,B+,B+,2021
HDC현대산업개발,294870,B,B,C,B+,2021
HMM,11200,A,A,A+,A,2021
HSD엔진,82740,A,B+,A,A,2021
JB금융지주,175330,A+,A,A+,A+,2021
JW생명과학,234080,B,B,B+,B,2021
JW중외제약,1060,B,C,B+,B+,2021
JW홀딩스,96760,B,D,B+,B+,2021
JYP Ent.,35900,B,D,B,B,2021
KB금융,105560,A+,A+,A+,A+,2021
KB손해보험,2550,,,,A,2021
KCC건설,21320,C,C,B,B,2021
KCI,36670,C,C,C,B,2021
KC그린홀딩스,9440,B,D,C,B+,2021
KC코트렐,119650,C,D,C,B+,2021
KEC,92220,B,B,B+,B,2021
KG ETS,151860,B,B+,C,B,2021
KG동부제철,16380,B,B+,B,B,2021
KG모빌리언스,46440,C,D,C,C,2021
KG이니시스,35600,C,D,B+,C,2021
KG케미칼,1390,C,C,C,B,2021
KH 필룩스,33180,C,C,B,C,2021
KH바텍,60720,B,B,B,B,2021
KISCO홀딩스,1940,B,B,B,B,2021
KPX케미칼,25000,C,B,C,C,2021
KPX홀딩스,92230,B,B,C,B+,2021
KR모터스,40,C,D,C,B,2021
KSS해운,44450,A,B+,A+,A,2021
KTB투자증권,30210,B+,C,A,B+,2021
KTcs,58850,A,B+,A,A,2021
KTis,58860,A,B+,A+,A,2021
KT서브마린,60370,B,C,B,B+,2021
LF,93050,B,D,B,B+,2021
LG,3550,A,A,A+,A,2021
LG디스플레이,34220,B+,B,A,B+,2021
LG생활건강,51900,A,A,A+,A,2021
LG유플러스,32640,A,A,A+,A,2021
LG이노텍,11070,A,A,A+,A,2021
LG전자,66570,A,A,A+,A,2021
LG헬로비전,37560,B+,C,A,A,2021
LG화학,51910,B+,B+,A,B+,2021
LIG넥스원,79550,A,A,A+,A,2021
LS,6260,A,B+,A+,B+,2021
LS네트웍스,680,C,D,C,B,2021
LS전선아시아,229640,B,D,C,B+,2021
LX세미콘,108320,B+,B,B+,B+,2021
LX인터내셔널,1120,A,A,A+,A,2021
LX하우시스,108670,A,A,A+,A,2021
MH에탄올,23150,B,B,D,B+,2021
NAVER,35420,A+,A,A,A+,2021
NHN한국사이버결제,60250,C,D,C,B,2021
NH농협손해보험,839719,,,,A,2021
NH투자증권,5940,A,A,A+,A,2021
NICE,34310,B+,B,A,B+,2021
NICE평가정보,30190,B+,B,A,B,2021
NI스틸,8260,C,D,C,B,2021
OCI,10060,A,B+,A+,A,2021
PI첨단소재,178920,B+,B+,B,B+,2021
RFHIC,218410,C,D,C,B,2021
S-Oil,10950,A,B+,A+,A+,2021
SBS,34120,B,D,B+,B+,2021
SBS미디어홀딩스,101060,B,D,B+,B,2021
SBS콘텐츠허브,46140,B,D,B,B,2021
SFA반도체,36540,C,B+,B,C,2021
SGC에너지,5090,B+,B+,A,B+,2021
SGC이테크건설,16250,C,C,C,B+,2021
SG글로벌,1380,C,C,C,C,2021
SG세계물산,4060,C,D,B,C,2021
SH에너지화학,2360,B,B,D,B+,2021
SIMPAC,9160,B,B,B,B,2021
SK,34730,A+,A+,A+,A+,2021
SKC,11790,A,A,A+,B+,2021
SK가스,18670,A,A,A+,A,2021
SK네트웍스,1740,A,B+,A+,A,2021
SK디스커버리,6120,A,A,A+,A,2021
SK디앤디,210980,A,A,A+,A,2021
SK렌터카,68400,A,B+,A+,B+,2021
SK머티리얼즈,36490,A,A,A+,A,2021
SK이노베이션,96770,A+,A,A+,A+,2021
SK증권,1510,B+,C,A,B+,2021
SK케미칼,285130,A,A,A+,A,2021
SK텔레콤,17670,A,A,A+,A,2021
SK하이닉스,660,A,B+,A+,A,2021
SNT모티브,64960,B,C,B,B+,2021
SNT에너지,100840,B,B,B,B,2021
SNT중공업,3570,B,B,C,B,2021
SNT홀딩스,36530,B+,B,B,B+,2021
SPC삼립,5610,B+,B,A,B+,2021
STX,11810,B,D,B,B+,2021
STX엔진,77970,B+,B,B,B+,2021
STX중공업,71970,B,C,B,B+,2021
SUN&L,2820,B+,B,B,B+,2021
TCC스틸,2710,B,B,C,B,2021
TYM,2900,A,B+,A+,B+,2021
WISCOM,24070,C,C,C,B+,2021
YG PLUS,37270,C,D,C,B,2021
가온전선,500,B+,B,B+,B+,2021
강남제비스코,860,B,B,B,B+,2021
강원랜드,35250,A,B+,A,A,2021
갤럭시아머니트리,94480,B,D,C,B+,2021
갤럭시아에스엠,11420,C,D,D,B,2021
경남은행,192520,,,,A,2021
경농,2100,B,B,B,B,2021
경동나비엔,9450,B+,B+,B+,B+,2021
경동도시가스,267290,A,B+,A,A,2021
경동인베스트,12320,B+,B+,A,B+,2021
경방,50,C,C,C,B+,2021
경보제약,214390,B+,B+,A,B+,2021
경인양행,12610,C,C,B,B,2021
경인전자,9140,C,D,C,B,2021
계룡건설산업,13580,C,D,D,B+,2021
계양전기,12200,B,B,B+,B,2021
고려산업,2140,C,C,D,B,2021
고려아연,10130,B,B+,C,B+,2021
고려제강,2240,B+,B+,B,B+,2021
고영,98460,B+,B,A,B+,2021
골프존,215000,B,D,B,B+,2021
광동제약,9290,B,C,B+,B+,2021
광명전기,17040,C,C,D,B,2021
광전자,17900,B,C,B,B+,2021
광주신세계,37710,A,B+,A,A,2021
광주은행,192530,,,,A,2021
교보생명보험,811097,,,,B+,2021
교보증권,30610,B,D,B+,B,2021
국도화학,7690,B,B,C,B+,2021
국동,5320,B,D,B,B+,2021
국민은행,60000,,,,A,2021
국보,1140,D,D,D,C,2021
국일제지,78130,B,B+,B,B,2021
국제약품,2720,B,D,B,B+,2021
그린케미칼,83420,B,B,C,B,2021
극동유화,14530,B,B,C,B,2021
금강공업,14280,C,C,C,B+,2021
금비,8870,C,C,C,B,2021
금양,1570,C,D,C,B+,2021
금호건설,2990,C,C,D,C,2021
금호석유화학,11780,B+,B,A,A,2021
금호에이치티,214330,C,C,C,B,2021
금호전기,1210,B,C,B,B+,2021
금호타이어,73240,B+,B+,A,B+,2021
기신정기,92440,C,D,C,B,2021
기아,270,A+,A+,A+,A,2021
기업은행,24110,A,A,A+,A,2021
까뮤이앤씨,13700,C,D,C,B+,2021
깨끗한나라,4540,B,B+,B,B,2021
나노엔텍,39860,C,D,C,B,2021
나스미디어,89600,B+,C,B+,A,2021
나우IB,293580,C,D,C,C,2021
남광토건,1260,C,D,C,B,2021
남선알미늄,8350,C,C,B,B,2021
남성,4270,C,D,C,B,2021
남양유업,3920,B+,B+,B+,B+,2021
남해화학,25860,B,C,B,B+,2021
네오팜,92730,C,D,C,B+,2021
네이처셀,7390,C,D,C,C,2021
네패스,33640,C,B,B+,C,2021
넥센,5720,B+,B+,A,B,2021
넥센타이어,2350,B+,B+,A,B+,2021
넥스트사이언스,3580,C,D,C,B,2021
넥슨지티,41140,C,D,B,C,2021
넷마블,251270,B+,D,B+,A,2021
노루페인트,90350,A,A,A+,B+,2021
노루홀딩스,320,A,A,A+,B+,2021
노바렉스,194700,C,D,C,B+,2021
녹십자,6280,B+,B+,B+,B+,2021
녹십자랩셀,144510,C,D,C,B,2021
녹십자셀,31390,C,D,B,B,2021
녹십자홀딩스,5250,B+,B+,B+,B+,2021
농심,4370,B+,B,A,B,2021
농심홀딩스,72710,B+,B,A,B+,2021
농우바이오,54050,B,D,B,B+,2021
농협금융지주,839683,,,,A,2021
농협생명보험,839723,,,,A,2021
농협은행,839742,,,,A,2021
다나와,119860,B,D,B,B+,2021
다스코,58730,B,B,C,B+,2021
다우기술,23590,B+,B,A,B+,2021
다우데이타,32190,B,D,B+,B,2021
다원시스,68240,C,D,C,B+,2021
대교,19680,B+,D,B+,A,2021
대구백화점,6370,B,D,B+,B+,2021
대구은행,5270,,,,B+,2021
대덕,8060,A,B+,A,A,2021
대동,490,B+,B,B,B+,2021
대동전자,8110,C,C,C,B+,2021
대림비앤코,5750,C,C,C,B+,2021
대림통상,6570,C,C,C,C,2021
대상,1680,A,A,A+,B+,2021
대상홀딩스,84690,A,A,A+,B+,2021
대성산업,128820,C,C,C,B+,2021
대성에너지,117580,B,B,B,B,2021
대성홀딩스,16710,B,C,B+,B,2021
대신증권,3540,A,B,A+,A,2021
대아티아이,45390,B,B,C,B+,2021
대양금속,9190,C,C,C,B,2021
대영포장,14160,C,C,C,C,2021
대우건설,47040,A,B+,A,A,2021
대우부품,9320,C,C,C,B,2021
대우조선해양,42660,A,B,A+,A,2021
대웅,3090,B,D,B+,B,2021
대웅제약,69620,C,D,B,B,2021
대원강업,430,B,B,C,B+,2021
대원전선,6340,C,C,C,B,2021
대원제약,3220,B,D,B,B+,2021
대원화성,24890,B,B,B,B+,2021
대유에이텍,2880,C,C,C,B,2021
대유플러스,300,C,C,C,C,2021
대주전자재료,78600,B,C,B,B+,2021
대창,12800,C,B,B,C,2021
대창단조,15230,B,B,C,B+,2021
대한방직,1070,C,C,C,B+,2021
대한유화,6650,B,B,B,B+,2021
대한전선,1440,A,A,A+,A,2021
대한제강,84010,B,B,B,B,2021
대한제당,1790,B,B,C,B+,2021
대한제분,1130,B,C,C,B+,2021
대한항공,3490,A,A,A+,A,2021
대한해운,5880,B,D,B,B+,2021
대한화섬,3830,B+,B,B+,B+,2021
대현,16090,B,D,B,B+,2021
대호에이엘,69460,B,B,C,B,2021
더블유게임즈,192080,B,D,B+,B+,2021
더존비즈온,12510,B,C,B,B,2021
덕산네오룩스,213420,D,D,C,C,2021
덕성,4830,C,C,C,B+,2021
덕양산업,24900,C,C,C,B,2021
덴티움,145720,B,D,B,B+,2021
도화엔지니어링,2150,B+,B,B,B+,2021
동국S&C,100130,C,C,C,C,2021
동국제강,1230,B+,B+,B,B+,2021
동국제약,86450,C,D,B,B,2021
동남합성,23450,C,D,C,B,2021
동방,4140,C,B,D,B,2021
동방아그로,7590,C,D,C,B+,2021
동부건설,5960,C,C,D,B+,2021
동서,26960,C,D,C,B,2021
동성제약,2210,C,D,C,B+,2021
동성케미컬,102260,B+,B,B+,B+,2021
동아쏘시오홀딩스,640,A,B+,A+,A,2021
동아에스티,170900,A,B+,A+,A,2021
동아지질,28100,C,D,D,B,2021
동아타이어,282690,C,D,C,B+,2021
동양,1520,C,C,C,B+,2021
동양고속,84670,B,C,C,B+,2021
동양생명,82640,B+,C,A,B+,2021
동양철관,8970,C,D,D,B,2021
동양피스톤,92780,B,B,C,B+,2021
동원F&B,49770,B+,B,A,B,2021
동원금속,18500,C,D,C,B+,2021
동원산업,6040,B,C,B+,B+,2021
동원수산,30720,C,D,C,B+,2021
동원시스템즈,14820,B,C,B+,B,2021
동일고무벨트,163560,B+,B,B+,B+,2021
동일산업,4890,B,B,C,B+,2021
동일제강,2690,C,C,C,B,2021
동진쎄미켐,5290,B+,B+,B+,B,2021
동화기업,25900,C,B,C,C,2021
동화약품,20,B,D,B+,B,2021
두산,150,A,A,A+,B+,2021
두산밥캣,241560,B+,C,A,A,2021
두산중공업,34020,A,A+,A,B+,2021
두산퓨얼셀,336260,B+,B,A,A,2021
두올,16740,B,C,B,B+,2021
드림어스컴퍼니,60570,B,B,C,B+,2021
드림텍,192650,C,C,C,B+,2021
디씨엠,24090,C,D,C,B+,2021
디아이,3160,B,D,B,B+,2021
디아이동일,1530,C,D,C,B+,2021
디아이씨,92200,C,C,C,B,2021
디와이,13570,B,C,C,B+,2021
디와이파워,210540,B,C,C,B+,2021
디티알오토모티브,7340,B,B,C,B+,2021
디피씨,26890,C,D,C,B+,2021
락앤락,115390,C,C,C,B+,2021
레고켐바이오,141080,C,D,C,B+,2021
로보스타,90360,C,D,C,B,2021
롯데관광개발,32350,B,D,B,B,2021
롯데손해보험,400,A,B,A+,A,2021
롯데쇼핑,23530,A,A,A+,A,2021
롯데정밀화학,4000,A,A,A+,A,2021
롯데정보통신,286940,A,A,A,A,2021
롯데제과,280360,A,A,A,A,2021
롯데지주,4990,A,B+,A+,A,2021
롯데칠성음료,5300,A,B+,A+,A,2021
롯데카드,854231,,,,B+,2021
롯데캐피탈,855981,,,,B,2021
롯데케미칼,11170,A,B,A+,A,2021
롯데푸드,2270,A,B+,A,A,2021
롯데하이마트,71840,A,A,A+,A,2021
리노공업,58470,C,C,B,B,2021
리더스 기술투자,19570,D,D,C,D,2021
마니커,27740,C,D,B,B,2021
만도,204320,A,B+,A+,A,2021
만호제강,1080,C,C,C,B+,2021
매일유업,267980,B+,B,A,B+,2021
멀티캠퍼스,67280,B,D,B+,B+,2021
메가스터디교육,215200,C,D,C,B,2021
메드팩토,235980,C,D,C,B+,2021
메디톡스,86900,C,D,D,B,2021
메디포스트,78160,B,D,B,B+,2021
메리츠금융지주,138040,B+,D,B+,A,2021
메리츠증권,8560,B+,C,A,B+,2021
메리츠캐피탈,867865,,,,B+,2021
메리츠화재,60,B,D,B+,B+,2021
메이슨캐피탈,21880,D,D,C,D,2021
메지온,140410,C,D,C,B,2021
메타랩스,90370,C,D,C,B+,2021
메트라이프생명보험,832969,,,,B,2021
명문제약,17180,B,D,B,B+,2021
모나리자,12690,B,B,C,B,2021
모나미,5360,C,D,C,B,2021
모토닉,9680,B,B,B,B+,2021
무림P&P,9580,A,B+,A,A,2021
무림페이퍼,9200,A,B+,B+,A,2021
무학,33920,B,D,B,B+,2021
문배철강,8420,C,D,C,B,2021
미래산업,25560,C,C,C,C,2021
미래아이앤지,7120,C,D,C,C,2021
미래에셋생명,85620,B+,C,A+,B+,2021
미래에셋증권,6800,B+,A,A+,B,2021
미래에셋캐피탈,840265,,,,B+,2021
미래테크놀로지,213090,B,D,B,B,2021
미원상사,2840,C,C,D,B,2021
미원에스씨,268280,C,C,C,B+,2021
