종목코드,종목명,ESG등급,환경,사회,지배구조,ESG등급_ca,환경_ca,사회_ca,지배구조_ca,연도,종가,거래량
192820,코스맥스,A,A,A,B+,6.0,6.0,6.0,5.0,2021.0,117883.73387096774,29766448.0
192820,코스맥스,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2018.0,139368.44262295082,22188452.0
192820,코스맥스,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2017.0,122580.09053497942,28938687.0
192820,코스맥스,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2016.0,138629.3943089431,26799995.0
011810,STX,B,D,B,B+,3.0,0.0,3.0,5.0,2021.0,5898.729838709677,76370054.0
011810,STX,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2018.0,20892.659836065573,16098448.0
011810,STX,B이하,B,B+,B이하,2.0,3.0,5.0,2.0,2017.0,26890.1646090535,35613168.0
011810,STX,B이하,C,B+,B이하,2.0,1.0,5.0,2.0,2016.0,31531.28455284553,27892143.0
011810,STX,B+,B,B+,B+,5.0,3.0,5.0,5.0,2013.0,335425.32793522265,17864749.0
011810,STX,B+,B,B+,B+,5.0,3.0,5.0,5.0,2012.0,875719.8548387097,882470.0
011810,STX,B+,B+,B+,B+,5.0,5.0,5.0,5.0,2011.0,1706839.3064516129,1920885.0
010780,아이에스동서,B+,B,B+,B+,5.0,3.0,5.0,5.0,2021.0,53344.153225806454,21467110.0
010780,아이에스동서,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2018.0,31791.803278688523,16338067.0
010780,아이에스동서,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2017.0,40380.04115226337,20962854.0
010780,아이에스동서,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2016.0,48457.52032520325,24099873.0
010780,아이에스동서,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2015.0,63700.0,30867513.0
010780,아이에스동서,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2014.0,31466.73469387755,17540943.0
010780,아이에스동서,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2013.0,13674.97975708502,12025208.0
010780,아이에스동서,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2012.0,12182.016129032258,21001007.0
010780,아이에스동서,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2011.0,14017.145161290322,28032646.0
003570,SNT중공업,B,B,C,B,3.0,3.0,1.0,3.0,2021.0,8779.314516129032,19699317.0
010140,삼성중공업,B+,B,A,B+,5.0,3.0,6.0,5.0,2021.0,6153.806451612903,1922012349.0
010140,삼성중공업,B+,B,B이하,A,5.0,3.0,2.0,6.0,2018.0,7032.422131147541,1046715120.0
010140,삼성중공업,B+,B+,B이하,B+,5.0,5.0,2.0,5.0,2017.0,9253.205761316873,905190505.0
010140,삼성중공업,B+,B,A,A,5.0,3.0,6.0,6.0,2016.0,7484.308943089431,574984743.0
010140,삼성중공업,B+,B+,B+,B+,5.0,5.0,5.0,5.0,2015.0,11314.97177419355,659173631.0
010140,삼성중공업,B+,B,A,A,5.0,3.0,6.0,6.0,2014.0,20305.963265306124,569519375.0
010140,삼성중공업,B+,B,A,B+,5.0,3.0,6.0,5.0,2013.0,27177.08906882591,370954956.0
010140,삼성중공업,B+,B,A+,B+,5.0,3.0,7.0,5.0,2012.0,26701.475806451614,445068257.0
010140,삼성중공업,B이하,B,B이하,B+,2.0,3.0,2.0,5.0,2011.0,27163.83870967742,810606077.0
033530,세종공업,B,B,B,B,3.0,3.0,3.0,3.0,2021.0,9758.024193548386,164803324.0
033530,세종공업,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2018.0,7175.0,30399171.0
033530,세종공업,B이하,C,B이하,B+,2.0,1.0,2.0,5.0,2017.0,8851.028806584362,23046388.0
033530,세종공업,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2016.0,10136.219512195123,9246538.0
033530,세종공업,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2015.0,11298.83064516129,14315989.0
033530,세종공업,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2014.0,16614.69387755102,8265867.0
033530,세종공업,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2013.0,14356.275303643724,14953603.0
033530,세종공업,B이하,B,B이하,B+,2.0,3.0,2.0,5.0,2012.0,12633.66935483871,16696532.0
033530,세종공업,B이하,B,B이하,B이하,2.0,3.0,2.0,2.0,2011.0,15443.951612903225,46068702.0
001680,대상,A,A,A+,B+,6.0,6.0,7.0,5.0,2021.0,25882.862903225807,57167797.0
001680,대상,B이하,B,B+,B이하,2.0,3.0,5.0,2.0,2018.0,25467.622950819674,37104466.0
001680,대상,B이하,B,B+,B이하,2.0,3.0,5.0,2.0,2017.0,25009.053497942386,41141709.0
001680,대상,B이하,C,B+,B이하,2.0,1.0,5.0,2.0,2016.0,29958.943089430893,44108545.0
001680,대상,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2015.0,36263.104838709674,60041153.0
001680,대상,B이하,C,B이하,B이하,2.0,1.0,2.0,2.0,2014.0,43275.91836734694,49020148.0
001680,대상,B이하,C,B이하,B+,2.0,1.0,2.0,5.0,2013.0,33945.54655870445,62939000.0
