종목코드,종목명,YMD,Y,M,Q,YM,YQ,재무제표구분코드,재무제표구분코드명,기업매출금액,기업영업이익,포괄손익계산금액,기업당기순이익,기업총자산금액,기업총부채금액,기업총자본금액,기업자본금액,재무제표부채비율
068870,LG생명과학,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_ConsolidatedMember,연결요약재무제표,450526355034,25201939449,13894239541,11371548367,706980326807,449358007227,257622319580,84066030000,174.4251072499
068870,LG생명과학,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_SeparateMember,별도요약재무제표,435446816306,26136971686,15021017434,12443782196,703705604242,445384074854,258321529388,84066030000,172.4146167411
008000,도레이케미칼,2015-03-31,2015,3,1,2015-3,2015-1,ifrs_ConsolidatedMember,연결요약재무제표,207890217005,-871462412,-5660470477,-4315628598,727951594676,430331568399,297620026277,0,144.590931525
008000,도레이케미칼,2015-03-31,2015,3,1,2015-3,2015-1,ifrs_SeparateMember,별도요약재무제표,175932552323,-2615227674,-6690401088,-5677659364,669744438135,397542364257,272202073878,0,146.0467800973
008000,도레이케미칼,2016-03-31,2016,3,1,2016-3,2016-1,ifrs_ConsolidatedMember,연결요약재무제표,856457055850,48660898849,33307151671,21854084841,713772955053,397204546704,316568408349,0,125.4719473669
008000,도레이케미칼,2016-03-31,2016,3,1,2016-3,2016-1,ifrs_SeparateMember,별도요약재무제표,692184183997,32432358817,18419127341,11511842719,642705691665,364945250621,277760441044,0,131.3884904738
008000,도레이케미칼,2018-03-31,2018,3,1,2018-3,2018-1,ifrs_ConsolidatedMember,연결요약재무제표,946151714215,33681274648,29239065082,25196924826,780240497539,421123741333,359116756206,237230757000,117.2665251775
008000,도레이케미칼,2018-03-31,2018,3,1,2018-3,2018-1,ifrs_SeparateMember,별도요약재무제표,793895408077,21075887488,20962574849,20791483045,708293878497,401405415508,306888462989,237230757000,130.7984704275
004130,대덕GDS,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_ConsolidatedMember,연결요약재무제표,523114222779,7604924531,25649385229,20965520675,526338562903,72082899413,454255663490,0,15.8683545868
004130,대덕GDS,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_SeparateMember,별도요약재무제표,476462408947,7412015694,26123012701,20936491195,506992981921,55396867742,451596114179,0,12.2669053171
004130,대덕GDS,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_ConsolidatedMember,연결요약재무제표,463195441524,4859935770,11928714452,9598473772,513147462689,57117995267,456029467422,0,12.5250667659
004130,대덕GDS,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_SeparateMember,별도요약재무제표,429173434668,3644269906,10483085176,8501774352,498433675440,46533410607,451900264833,0,10.2972744714
004130,대덕GDS,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_ConsolidatedMember,연결요약재무제표,482363638726,30038908512,43731276667,33656441786,568656321682,89782498975,478873822707,11367806500,18.7486754794
004130,대덕GDS,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_SeparateMember,별도요약재무제표,456605885011,30114210683,38698813514,29996977251,553128068347,79837248559,473290819788,11367806500,16.8685394309
192820,코스맥스,2011-12-31,2011,12,4,2011-12,2011-4,120,요약별도재무정보,176879983,10740303,10035262,7597714,138479511,98464605,40014906,4499755,246.0698145835
192820,코스맥스,2012-12-31,2012,12,4,2012-12,2012-4,120,요약별도재무정보,215611295,14748657,14820724,13123151,146226729,102470549,43756180,4499755,234.1853173654
192820,코스맥스,2013-12-31,2013,12,4,2013-12,2013-4,120,요약별도재무정보,260700561000,18005908000,18600176000,15651286000,166245866000,104848655000,61397211000,4499754000,170.7710387691
192820,코스맥스,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_ConsolidatedMember,연결요약재무제표,533342717781,35934351724,29490776255,18885577415,438932111547,342412375965,96519735582,0,354.7589245871
192820,코스맥스,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_SeparateMember,별도요약재무제표,372482450750,28201633567,28784194040,22215275889,266152320313,181524386805,84627933508,0,214.4970097702
192820,코스맥스,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_ConsolidatedMember,연결요약재무제표,756963564655,52615998585,46485085622,31440053248,665916423820,458601914455,207314509365,0,221.2107178893
192820,코스맥스,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_SeparateMember,별도요약재무제표,505504970561,43303715284,43571960840,35077689310,431150053778,228219429980,202930623798,0,112.4617988693
192820,코스맥스,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_ConsolidatedMember,연결요약재무제표,883950013573,35140124481,25264909110,15520150514,934019128620,705632343989,228386784631,5024754500,308.9637367281
192820,코스맥스,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_SeparateMember,별도요약재무제표,528204487117,18787440603,11790331776,10206567464,515856102463,313064564358,202791538105,5024754500,154.3775284134
192820,코스맥스,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_ConsolidatedMember,연결요약재무제표,1259716816059,52337973702,36235357143,21062588320,1061541156258,819694886005,241846270253,5024754500,338.9322006693
003570,SNT중공업,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_ConsolidatedMember,연결요약재무제표,504444993403,38471397490,40219094914,32623127092,921662680320,244069810488,677592869832,0,36.020126739
003570,SNT중공업,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_SeparateMember,별도요약재무제표,443175886490,36674814654,39565059962,32212254483,889873771470,220022967421,669850804049,0,32.8465631587
003570,SNT중공업,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_ConsolidatedMember,연결요약재무제표,468007770146,-1447729396,-23247594775,-24435794182,890522083754,236978141343,653543942411,83683597500,36.2604755342
003570,SNT중공업,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_SeparateMember,별도요약재무제표,398982562965,-1942045618,-22567534223,-23625342779,860133260364,213080557134,647052703230,83683597500,32.9309430392
003570,SNT중공업,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_ConsolidatedMember,연결요약재무제표,436273550322,-37459302471,-39780186763,-30924388941,838427548584,233899733414,604527815170,83683597500,38.6913103987
003570,SNT중공업,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_SeparateMember,별도요약재무제표,370450188934,-36005754018,-37204077583,-28425565348,813215284600,211443476701,601771807899,83683597500,35.1368199583
003570,SNT중공업,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_ConsolidatedMember,연결요약재무제표,396259118104,16103600225,25949897852,19818448007,845671572122,238166577254,607504994868,83683597500,39.2040525207
003570,SNT중공업,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_SeparateMember,별도요약재무제표,331676568402,14498066192,22385910586,16332935450,819413362098,218194443291,601218918807,83683597500,36.2920121882
003570,SNT중공업,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_ConsolidatedMember,연결요약재무제표,375115530869,19249742781,23832507823,16645498685,841373802156,224269462667,617104339489,85631742500,36.342227451
003570,SNT중공업,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_SeparateMember,별도요약재무제표,295847914877,17766197452,26411945991,19378460146,820998787023,207416113196,613582673827,85631742500,33.8041020458
103130,웅진에너지,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_SeparateMember,별도요약재무제표,164324042724,515987701,-23875323525,-24052325615,323140448209,273311674167,49828774042,0,548.501702925
103130,웅진에너지,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_SeparateMember,별도요약재무제표,173918792324,-53258391740,-84291028417,-84291028417,308015231809,219739936834,88275294975,0,248.9257463215
103130,웅진에너지,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_SeparateMember,별도요약재무제표,243057422867,3773422016,1361853013,1361853013,337442085044,227999176304,109442908740,127851540000,208.3270436878
103130,웅진에너지,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_SeparateMember,별도요약재무제표,165837900559,-56067335716,-111761171830,-111761171830,236744346711,195543480523,41200866188,154477095000,474.6101201628
103130,웅진에너지,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_SeparateMember,별도요약재무제표,41751332453,-59318457169,-155749067726,-155749067726,139667308469,228298593038,-93138089736,154736610000,100.0
103130,웅진에너지,2020-12-31,2020,12,4,2020-12,2020-4,ifrs_SeparateMember,별도요약재무제표,34079554513,-10682541199,110243431859,110243431859,123511838947,68203123124,55308715823,154736610000,123.3135177867
005180,빙그레,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_ConsolidatedMember,연결요약재무제표,799571650621,31692712996,32443468030,24742588426,616988522405,99825437838,517163084567,0,19.3025064659
005180,빙그레,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_SeparateMember,별도요약재무제표,795438210434,30928007608,31668900251,24314997440,616351609187,99455664264,516895944923,0,19.2409449602
005180,빙그레,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_ConsolidatedMember,연결요약재무제표,813166106663,37235846082,37048273843,28730760395,623750932009,101995297760,521755634249,0,19.5484803737
005180,빙그레,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_SeparateMember,별도요약재무제표,804139944761,35616853375,35568020525,27539923286,622118009363,101891112155,520226897208,0,19.5858985189
005180,빙그레,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_ConsolidatedMember,연결요약재무제표,857454493207,34708336169,48109499748,29615034874,635622606558,106776945833,528845660725,49756205000,20.1905685842
005180,빙그레,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_SeparateMember,별도요약재무제표,841320053718,30950570426,44877947360,27873072685,632229307701,106128036196,526101271505,49756205000,20.1725488882
005180,빙그레,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_ConsolidatedMember,연결요약재무제표,855162971617,39329614676,44375866112,34201160684,653929092795,108852814244,545076278551,49756205000,19.9701983974
005180,빙그레,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_SeparateMember,별도요약재무제표,838159210181,35304788611,41074553341,32131228052,648465580593,108314270997,540151309596,49756205000,20.0525795407
005180,빙그레,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_ConsolidatedMember,연결요약재무제표,878334259510,45782148344,53102769593,41057895775,684922782174,113783206589,571139575585,49756205000,19.9221366288
005180,빙그레,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_SeparateMember,별도요약재무제표,857206874241,41782106055,50601164313,39718950010,677017157337,112189217358,564827939979,49756205000,19.8625474091
008060,대덕,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_SeparateMember,별도요약재무제표,512596613599,26807441773,40120356940,30599487242,525406871909,69216822373,456190049536,24398150000,15.1728040634
008060,대덕,2016-12-31,2016,12,4,2016-12,2016-4,ifrs_SeparateMember,별도요약재무제표,490868073033,28761952221,40284312026,23367135190,557708966522,90858755378,466850211144,24398150000,19.462078673
008060,대덕,2017-12-31,2017,12,4,2017-12,2017-4,ifrs_SeparateMember,별도요약재무제표,512147273125,30578169607,45393962181,35608233962,607099316074,87033442514,520065873560,24398150000,16.7350804848
008060,대덕,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_ConsolidatedMember,연결요약재무제표,592072101728,34804635972,279153864923,264713548233,1136921457348,152995020332,983926437016,40657424000,15.5494368864
008060,대덕,2018-12-31,2018,12,4,2018-12,2018-4,ifrs_SeparateMember,별도요약재무제표,590731701545,34916645705,275910402823,262339311191,1122348045899,142370701426,979977344473,40657424000,14.5279584502
008060,대덕,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_ConsolidatedMember,연결요약재무제표,1072245938917,46436523985,82207273055,64557559202,1201854194852,162147974872,1039706219980,40657424000,15.5955568752
008060,대덕,2019-12-31,2019,12,4,2019-12,2019-4,ifrs_SeparateMember,별도요약재무제표,1060557643703,51828246347,85023866565,67614732525,1185884790682,148026088370,1037858702312,40657424000,14.2626436566
008060,대덕,2020-12-31,2020,12,4,2020-12,2020-4,ifrs_ConsolidatedMember,연결요약재무제표,3362592763,-4075303859,93211744952,147239801589,1638748949780,292481242191,1346267707589,17551253500,21.7253404016
008060,대덕,2020-12-31,2020,12,4,2020-12,2020-4,ifrs_SeparateMember,별도요약재무제표,5792604603,1261315413,28444951001,81278345805,543387836130,4221137179,539166698951,17551253500,0.7829002027
008060,대덕,2021-12-31,2021,12,4,2021-12,2021-4,ifrs_ConsolidatedMember,연결요약재무제표,1371708882418,67199543366,69763258655,54714530587,1723958191276,351055476398,1372902714878,17551253500,25.5703097236
009680,모토닉,2015-12-31,2015,12,4,2015-12,2015-4,ifrs_ConsolidatedMember,연결요약재무제표,203254231332,6273746241,11375992384,9220391887,429266967922,49657373928,379609593994,0,13.0811693681
