일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액,연도,월,일,요일,요일명,연도월,분기
2011-01-03,273,2.62,0.97,272.84,273.81,271.63,100076,4872100,1005699476,2011,1,3,0,월,2011.1,1
2011-01-04,275,1.97,0.72,274.29,275.78,273.69,113809,6121661,1012702568,2011,1,4,1,화,2011.1,1
2011-01-05,275,-0.43,-0.16,275.37,275.94,274.57,127214,6860693,1011270305,2011,1,5,2,수,2011.1,1
2011-01-06,274,-0.63,-0.23,276.91,277.13,273.08,143227,6960295,1009445006,2011,1,6,3,목,2011.1,1
2011-01-07,275,0.89,0.32,274.0,275.61,273.24,113105,6131209,1013763300,2011,1,7,4,금,2011.1,1
2011-01-10,273,-1.62,-0.59,274.91,275.75,272.44,123705,5849440,1009809907,2011,1,10,0,월,2011.1,1
2011-01-11,275,1.11,0.41,273.81,275.1,271.26,114625,5609930,1013753056,2011,1,11,1,화,2011.1,1
2011-01-12,276,1.07,0.39,275.53,276.7,274.79,134798,6519955,1017060563,2011,1,12,2,수,2011.1,1
2011-01-13,275,-0.65,-0.24,276.49,278.52,274.81,169448,7836281,1014062421,2011,1,13,3,목,2011.1,1
2011-01-14,278,2.65,0.96,275.39,278.17,273.45,183857,7317316,1023688972,2011,1,14,4,금,2011.1,1
2011-01-17,277,-1.12,-0.4,278.49,279.67,277.04,151516,6734198,1019531817,2011,1,17,0,월,2011.1,1
2011-01-18,276,-0.45,-0.16,276.43,278.8,276.07,139441,6722349,1019438710,2011,1,18,1,화,2011.1,1
2011-01-19,279,2.65,0.96,277.9,279.86,274.81,151378,7483324,1029185939,2011,1,19,2,수,2011.1,1
2011-01-20,277,-1.5,-0.54,278.52,278.96,277.12,109291,5524895,1024250045,2011,1,20,3,목,2011.1,1
2011-01-21,272,-5.08,-1.83,277.22,277.38,272.28,140578,6340962,1005908301,2011,1,21,4,금,2011.1,1
2011-01-24,274,1.83,0.67,272.25,274.68,271.92,107723,5132958,1012581818,2011,1,24,0,월,2011.1,1
2011-01-25,275,0.68,0.25,275.8,277.76,274.86,130497,6176666,1015380939,2011,1,25,1,화,2011.1,1
2011-01-26,278,3.63,1.32,276.16,279.19,275.92,113839,5160821,1028045664,2011,1,26,2,수,2011.1,1
2011-01-27,279,0.39,0.14,279.34,280.26,278.34,124113,6275938,1030266505,2011,1,27,3,목,2011.1,1
2011-01-28,278,-0.75,-0.27,279.18,279.79,276.58,124678,6740663,1027237589,2011,1,28,4,금,2011.1,1
2011-01-31,273,-5.33,-1.91,274.8,275.95,273.12,116192,6441656,1007726615,2011,1,31,0,월,2011.1,1
2011-02-01,273,0.33,0.12,274.5,275.46,273.44,107293,5351776,1003236279,2011,2,1,1,화,2011.2,1
2011-02-07,274,1.45,0.53,277.76,278.68,274.9,114649,5830210,1007957708,2011,2,7,0,월,2011.2,1
2011-02-08,273,-1.74,-0.63,276.01,276.36,272.84,116763,6492306,1001350170,2011,2,8,1,화,2011.2,1
2011-02-09,269,-3.26,-1.19,274.18,274.2,268.84,109634,5914783,989194249,2011,2,9,2,수,2011.2,1
2011-02-10,264,-5.33,-1.97,269.21,269.83,264.57,119190,6436775,970251419,2011,2,10,3,목,2011.2,1
2011-02-11,260,-4.17,-1.58,264.8,266.76,260.13,124670,6365676,954922390,2011,2,11,4,금,2011.2,1
2011-02-14,266,5.62,2.16,263.49,266.29,261.98,107227,5024173,974701553,2011,2,14,0,월,2011.2,1
2011-02-15,265,-0.62,-0.23,266.49,268.23,264.39,108129,5060111,973222049,2011,2,15,1,화,2011.2,1
2011-02-16,262,-2.84,-1.07,264.95,267.14,262.52,106002,4841237,962697588,2011,2,16,2,수,2011.2,1
2011-02-17,261,-1.33,-0.51,264.41,265.14,258.83,132445,5989030,957710660,2011,2,17,3,목,2011.2,1
2011-02-18,265,4.57,1.75,263.03,266.22,261.82,111961,5043463,974808593,2011,2,18,4,금,2011.2,1
2011-02-21,264,-1.25,-0.47,265.88,266.07,262.71,113038,5027137,970935932,2011,2,21,0,월,2011.2,1
2011-02-22,260,-4.42,-1.67,260.81,262.06,258.58,113190,5345545,954046014,2011,2,22,1,화,2011.2,1
2011-02-23,259,-0.92,-0.35,259.18,261.3,257.87,105106,4969091,950140877,2011,2,23,2,수,2011.2,1
2011-02-24,257,-1.52,-0.59,258.69,260.4,257.04,96546,4637852,944210231,2011,2,24,3,목,2011.2,1
2011-02-25,259,1.59,0.62,258.49,259.68,256.43,89777,4337787,955682471,2011,2,25,4,금,2011.2,1
2011-02-28,256,-2.92,-1.13,257.96,258.83,255.88,86801,4046829,944178162,2011,2,28,0,월,2011.2,1
2011-03-02,254,-1.4,-0.55,253.95,256.58,253.9,81300,4040982,938712847,2011,3,2,2,수,2011.3,1
2011-03-03,260,5.52,2.17,256.82,260.48,256.55,85844,4396555,959283841,2011,3,3,3,목,2011.3,1
2011-03-04,265,4.94,1.9,263.06,265.96,262.41,103584,5334863,977099399,2011,3,4,4,금,2011.3,1
2011-03-07,261,-3.98,-1.5,264.12,265.2,261.12,69664,3989035,963745154,2011,3,7,0,월,2011.3,1
2011-03-08,263,1.89,0.72,261.87,265.09,260.56,88749,4546580,971230184,2011,3,8,1,화,2011.3,1
2011-03-09,263,0.47,0.18,264.84,266.18,262.39,110322,5603839,973199149,2011,3,9,2,수,2011.3,1
2011-03-10,260,-3.21,-1.22,263.41,263.66,259.55,118230,6453540,963877921,2011,3,10,3,목,2011.3,1
2011-03-11,256,-3.76,-1.44,257.17,259.22,256.15,88216,4729185,950445490,2011,3,11,4,금,2011.3,1
2011-03-14,260,3.86,1.5,256.64,260.69,254.63,161482,8377992,963136054,2011,3,14,0,월,2011.3,1
2011-03-15,254,-6.4,-2.46,260.14,262.77,249.34,178117,8596442,940152751,2011,3,15,1,화,2011.3,1
2011-03-16,259,5.15,2.03,258.44,260.22,255.66,123216,6160653,957849409,2011,3,16,2,수,2011.3,1
2011-03-17,259,0.36,0.14,254.66,260.25,254.23,120057,5986482,959166379,2011,3,17,3,목,2011.3,1
2011-03-18,262,2.59,1.0,260.13,263.59,259.58,111775,5945762,968686995,2011,3,18,4,금,2011.3,1
2011-03-21,264,2.5,0.95,262.74,265.18,262.64,99625,4658748,978866876,2011,3,21,0,월,2011.3,1
2011-03-22,266,1.16,0.44,265.97,266.48,264.76,115160,6397836,984437924,2011,3,22,1,화,2011.3,1
2011-03-23,265,-0.38,-0.14,266.69,266.99,264.64,148513,6688755,983334763,2011,3,23,2,수,2011.3,1
2011-03-24,268,3.26,1.23,266.97,268.95,266.85,128245,5702363,995933526,2011,3,24,3,목,2011.3,1
2011-03-25,271,2.73,1.02,271.91,272.22,269.78,134099,6305817,1005406688,2011,3,25,4,금,2011.3,1
2011-03-28,272,0.47,0.17,271.7,272.65,270.51,128562,5718473,1006639683,2011,3,28,0,월,2011.3,1
2011-03-29,274,2.09,0.77,271.49,274.22,271.04,106847,5439260,1014662882,2011,3,29,1,화,2011.3,1
2011-03-30,277,2.82,1.03,274.76,278.2,274.46,142845,7226402,1022112768,2011,3,30,2,수,2011.3,1
2011-03-31,278,1.83,0.66,277.97,278.87,276.52,142599,7302366,1032033322,2011,3,31,3,목,2011.3,1
2011-04-01,280,1.86,0.67,278.92,280.73,278.1,135226,6590002,1039068589,2011,4,1,4,금,2011.4,2
2011-04-04,280,-0.72,-0.26,281.1,281.3,278.38,138914,7150411,1036086589,2011,4,4,0,월,2011.4,2
2011-04-05,282,2.02,0.72,280.3,282.03,278.87,122670,5765342,1043834864,2011,4,5,1,화,2011.4,2
2011-04-06,281,-0.68,-0.24,281.8,282.73,280.25,161504,7711590,1041934188,2011,4,6,2,수,2011.4,2
2011-04-07,280,-0.9,-0.32,282.22,282.62,279.15,145993,6392465,1039212390,2011,4,7,3,목,2011.4,2
2011-04-08,281,0.6,0.21,280.0,282.21,279.7,167077,7598303,1042157787,2011,4,8,4,금,2011.4,2
2011-04-11,280,-0.56,-0.2,280.79,282.03,279.34,128450,6333567,1039838425,2011,4,11,0,월,2011.4,2
2011-04-12,276,-4.36,-1.55,279.74,279.78,275.99,127623,6130558,1023290277,2011,4,12,1,화,2011.4,2
