일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액,연도,월,일,요일,요일명,연도월,분기
2012-01-02,238.7,,,,,,,,,2012,1,2,0,월,2012.1,1
2012-01-03,245.89,7.19,3.01,,,,,,,2012,1,3,1,화,2012.1,1
2012-01-04,244.07,-1.82,-0.74,,,,,,,2012,1,4,2,수,2012.1,1
2012-01-05,243.52,-0.55,-0.23,,,,,,,2012,1,5,3,목,2012.1,1
2012-01-06,240.56,-2.96,-1.22,,,,,,,2012,1,6,4,금,2012.1,1
2012-01-09,238.0,-2.56,-1.06,,,,,,,2012,1,9,0,월,2012.1,1
2012-01-10,241.59,3.59,1.51,,,,,,,2012,1,10,1,화,2012.1,1
2012-01-11,240.69,-0.9,-0.37,,,,,,,2012,1,11,2,수,2012.1,1
2012-01-12,243.5,2.81,1.17,,,,,,,2012,1,12,3,목,2012.1,1
2012-01-13,245.26,1.76,0.72,,,,,,,2012,1,13,4,금,2012.1,1
2012-01-16,242.94,-2.32,-0.95,,,,,,,2012,1,16,0,월,2012.1,1
2012-01-17,247.84,4.9,2.02,,,,,,,2012,1,17,1,화,2012.1,1
2012-01-18,247.77,-0.07,-0.03,,,,,,,2012,1,18,2,수,2012.1,1
2012-01-19,251.75,3.98,1.61,,,,,,,2012,1,19,3,목,2012.1,1
2012-01-20,257.21,5.46,2.17,,,,,,,2012,1,20,4,금,2012.1,1
2012-01-25,257.97,0.76,0.3,,,,,,,2012,1,25,2,수,2012.1,1
2012-01-26,258.0,0.03,0.01,,,,,,,2012,1,26,3,목,2012.1,1
2012-01-27,259.09,1.09,0.42,,,,,,,2012,1,27,4,금,2012.1,1
2012-01-30,255.25,-3.84,-1.48,,,,,,,2012,1,30,0,월,2012.1,1
2012-01-31,256.69,1.44,0.56,,,,,,,2012,1,31,1,화,2012.1,1
2012-02-01,256.76,0.07,0.03,,,,,,,2012,2,1,2,수,2012.2,1
2012-02-02,259.94,3.18,1.24,,,,,,,2012,2,2,3,목,2012.2,1
2012-02-03,258.11,-1.83,-0.7,,,,,,,2012,2,3,4,금,2012.2,1
2012-02-06,258.47,0.36,0.14,,,,,,,2012,2,6,0,월,2012.2,1
2012-02-07,259.49,1.02,0.39,,,,,,,2012,2,7,1,화,2012.2,1
2012-02-08,262.54,3.05,1.18,,,,,,,2012,2,8,2,수,2012.2,1
2012-02-09,264.13,1.59,0.61,,,,,,,2012,2,9,3,목,2012.2,1
2012-02-10,260.65,-3.48,-1.32,,,,,,,2012,2,10,4,금,2012.2,1
2012-02-13,262.55,1.9,0.73,,,,,,,2012,2,13,0,월,2012.2,1
2012-02-14,262.09,-0.46,-0.18,,,,,,,2012,2,14,1,화,2012.2,1
2012-02-15,266.0,3.91,1.49,,,,,,,2012,2,15,2,수,2012.2,1
2012-02-16,261.84,-4.16,-1.56,,,,,,,2012,2,16,3,목,2012.2,1
