일자,KOSPI 200 종가,KOSPI 200 등락률,KOSPI 200 거래량,KOSPI 200 ESG 종가,KOSPI 200 ESG 등락률,KOSPI 200 ESG 거래량,연도,연도월,분기
2011-01-03,273.81,0.97,100076.0,,,,2011,2011.1,1
2011-01-04,275.78,0.72,113809.0,,,,2011,2011.1,1
2011-01-05,275.35,-0.16,127214.0,,,,2011,2011.1,1
2011-01-06,274.72,-0.23,143227.0,,,,2011,2011.1,1
2011-01-07,275.61,0.32,113105.0,,,,2011,2011.1,1
2011-01-10,273.99,-0.59,123705.0,,,,2011,2011.1,1
2011-01-11,275.1,0.41,114625.0,,,,2011,2011.1,1
2011-01-12,276.17,0.39,134798.0,,,,2011,2011.1,1
2011-01-13,275.52,-0.24,169448.0,,,,2011,2011.1,1
2011-01-14,278.17,0.96,183857.0,,,,2011,2011.1,1
2011-01-17,277.05,-0.4,151516.0,,,,2011,2011.1,1
2011-01-18,276.6,-0.16,139441.0,,,,2011,2011.1,1
2011-01-19,279.25,0.96,151378.0,,,,2011,2011.1,1
2011-01-20,277.75,-0.54,109291.0,,,,2011,2011.1,1
2011-01-21,272.67,-1.83,140578.0,,,,2011,2011.1,1
2011-01-24,274.5,0.67,107723.0,,,,2011,2011.1,1
2011-01-25,275.18,0.25,130497.0,,,,2011,2011.1,1
2011-01-26,278.81,1.32,113839.0,,,,2011,2011.1,1
2011-01-27,279.2,0.14,124113.0,,,,2011,2011.1,1
2011-01-28,278.45,-0.27,124678.0,,,,2011,2011.1,1
2011-01-31,273.12,-1.91,116192.0,,,,2011,2011.1,1
2011-02-01,273.45,0.12,107293.0,,,,2011,2011.2,1
2011-02-07,274.9,0.53,114649.0,,,,2011,2011.2,1
2011-02-08,273.16,-0.63,116763.0,,,,2011,2011.2,1
2011-02-09,269.9,-1.19,109634.0,,,,2011,2011.2,1
2011-02-10,264.57,-1.97,119190.0,,,,2011,2011.2,1
2011-02-11,260.4,-1.58,124670.0,,,,2011,2011.2,1
2011-02-14,266.02,2.16,107227.0,,,,2011,2011.2,1
2011-02-15,265.4,-0.23,108129.0,,,,2011,2011.2,1
2011-02-16,262.56,-1.07,106002.0,,,,2011,2011.2,1
2011-02-17,261.23,-0.51,132445.0,,,,2011,2011.2,1
2011-02-18,265.8,1.75,111961.0,,,,2011,2011.2,1
2011-02-21,264.55,-0.47,113038.0,,,,2011,2011.2,1
2011-02-22,260.13,-1.67,113190.0,,,,2011,2011.2,1
2011-02-23,259.21,-0.35,105106.0,,,,2011,2011.2,1
2011-02-24,257.69,-0.59,96546.0,,,,2011,2011.2,1
2011-02-25,259.28,0.62,89777.0,,,,2011,2011.2,1
2011-02-28,256.36,-1.13,86801.0,,,,2011,2011.2,1
2011-03-02,254.96,-0.55,81300.0,,,,2011,2011.3,1
2011-03-03,260.48,2.17,85844.0,,,,2011,2011.3,1
2011-03-04,265.42,1.9,103584.0,,,,2011,2011.3,1
2011-03-07,261.44,-1.5,69664.0,,,,2011,2011.3,1
2011-03-08,263.33,0.72,88749.0,,,,2011,2011.3,1
2011-03-09,263.8,0.18,110322.0,,,,2011,2011.3,1
2011-03-10,260.59,-1.22,118230.0,,,,2011,2011.3,1
2011-03-11,256.83,-1.44,88216.0,,,,2011,2011.3,1
2011-03-14,260.69,1.5,161482.0,,,,2011,2011.3,1
2011-03-15,254.29,-2.46,178117.0,,,,2011,2011.3,1
2011-03-16,259.44,2.03,123216.0,,,,2011,2011.3,1
2011-03-17,259.8,0.14,120057.0,,,,2011,2011.3,1
2011-03-18,262.39,1.0,111775.0,,,,2011,2011.3,1
2011-03-21,264.89,0.95,99625.0,,,,2011,2011.3,1
2011-03-22,266.05,0.44,115160.0,,,,2011,2011.3,1
2011-03-23,265.67,-0.14,148513.0,,,,2011,2011.3,1
2011-03-24,268.93,1.23,128245.0,,,,2011,2011.3,1
2011-03-25,271.66,1.02,134099.0,,,,2011,2011.3,1
2011-03-28,272.13,0.17,128562.0,,,,2011,2011.3,1
2011-03-29,274.22,0.77,106847.0,,,,2011,2011.3,1
2011-03-30,277.04,1.03,142845.0,,,,2011,2011.3,1
2011-03-31,278.87,0.66,142599.0,,,,2011,2011.3,1
2011-04-01,280.73,0.67,135226.0,,,,2011,2011.4,2
2011-04-04,280.01,-0.26,138914.0,,,,2011,2011.4,2
2011-04-05,282.03,0.72,122670.0,,,,2011,2011.4,2
2011-04-06,281.35,-0.24,161504.0,,,,2011,2011.4,2
2011-04-07,280.45,-0.32,145993.0,,,,2011,2011.4,2
2011-04-08,281.05,0.21,167077.0,,,,2011,2011.4,2
2011-04-11,280.49,-0.2,128450.0,,,,2011,2011.4,2
2011-04-12,276.13,-1.55,127623.0,,,,2011,2011.4,2
2011-04-13,280.68,1.65,117661.0,,,,2011,2011.4,2
2011-04-14,283.15,0.88,148798.0,,,,2011,2011.4,2
2011-04-15,282.8,-0.12,125550.0,,,,2011,2011.4,2
2011-04-18,282.14,-0.23,147749.0,,,,2011,2011.4,2
2011-04-19,280.43,-0.61,146576.0,,,,2011,2011.4,2
2011-04-20,287.19,2.41,162546.0,,,,2011,2011.4,2
2011-04-21,291.16,1.38,191071.0,,,,2011,2011.4,2
2011-04-22,290.84,-0.11,140819.0,,,,2011,2011.4,2
2011-04-25,292.69,0.64,121836.0,,,,2011,2011.4,2
2011-04-26,291.38,-0.45,165641.0,,,,2011,2011.4,2
2011-04-27,292.08,0.24,190609.0,,,,2011,2011.4,2
2011-04-28,292.15,0.02,157386.0,,,,2011,2011.4,2
2011-04-29,290.39,-0.6,170786.0,,,,2011,2011.4,2
2011-05-02,295.35,1.71,120033.0,,,,2011,2011.5,2
2011-05-03,291.65,-1.25,126165.0,,,,2011,2011.5,2
2011-05-04,288.46,-1.09,132932.0,,,,2011,2011.5,2
2011-05-06,283.68,-1.66,124216.0,,,,2011,2011.5,2
2011-05-09,282.59,-0.38,91275.0,,,,2011,2011.5,2
2011-05-11,286.3,1.31,104688.0,,,,2011,2011.5,2
2011-05-12,280.02,-2.19,134840.0,,,,2011,2011.5,2
2011-05-13,279.59,-0.15,145732.0,,,,2011,2011.5,2
2011-05-16,277.22,-0.85,104268.0,,,,2011,2011.5,2
2011-05-17,277.15,-0.03,94316.0,,,,2011,2011.5,2
2011-05-18,281.76,1.66,97493.0,,,,2011,2011.5,2
2011-05-19,276.47,-1.88,112885.0,,,,2011,2011.5,2
2011-05-20,278.59,0.77,96777.0,,,,2011,2011.5,2
2011-05-23,271.19,-2.66,95182.0,,,,2011,2011.5,2
2011-05-24,271.78,0.22,87041.0,,,,2011,2011.5,2
2011-05-25,268.62,-1.16,94771.0,,,,2011,2011.5,2
2011-05-26,276.33,2.87,96148.0,,,,2011,2011.5,2
2011-05-27,277.35,0.37,96283.0,,,,2011,2011.5,2
2011-05-30,276.32,-0.37,86822.0,,,,2011,2011.5,2
2011-05-31,282.76,2.33,136902.0,,,,2011,2011.5,2
2011-06-01,282.75,0.0,129261.0,,,,2011,2011.6,2
