종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
25850,KPX화인케미칼,"17,900",50,0.28,"72,956,900","68,020,000,000"
71970,STX메탈,"5,660",0,0.0,"62,721,280","126,218,000,000"
17900,광전자,"3,195",-10,0.31,"2,235,709,160","185,130,322,785"
1210,금호전기,"25,050",550,2.24,"657,408,900","173,247,077,550"
84010,대한제강,"6,440",130,2.06,"203,772,180","154,592,019,680"
5680,삼영전자,"9,300",-10,0.11,"242,403,000","186,000,000,000"
2030,아세아시멘트,"36,600","2,300",6.71,"194,464,000","173,444,801,400"
3640,유니온스틸,"16,100",-50,0.31,"11,414,500","165,186,000,000"
8730,율촌화학,"8,020",160,2.04,"484,223,820","198,896,000,000"
64420,케이피케미칼,"14,150",50,0.35,"8,474,080,650","1,391,479,615,300"
11810,STX,"8,400",150,1.82,"3,939,272,580","506,244,018,000"
67250,STX조선해양,"7,300",30,0.41,"6,421,736,500","593,439,768,700"
1130,대한제분,"139,000",-500,0.36,"274,126,500","234,910,000,000"
8040,동아원,"3,010",130,4.51,"1,494,772,720","188,694,630,460"
3190,알앤엘바이오,"3,365",0,0.0,"3,914,216,830","313,131,394,080"
4940,외환은행,"7,620",-10,0.13,"2,928,656,460","4,914,190,014,120"
3120,일성신약,"84,500",0,0.0,"69,142,100","224,770,000,000"
103590,일진전기,"4,535",-5,0.11,"150,358,865","168,159,568,650"
3480,한진중공업홀딩스,"7,380",250,3.51,"340,004,820","217,930,012,560"
25000,KPX케미칼,"63,900","1,000",1.59,"86,181,100","309,276,000,000"
77970,STX엔진,"4,600",-155,3.26,"530,586,680","226,312,791,800"
53000,우리금융,"13,300",500,3.91,"36,710,795,400","10,720,004,022,000"
103130,웅진에너지,"1,930",10,0.52,"571,769,740","128,786,433,460"
1300,제일모직,"88,500",-100,0.11,"11,652,901,400","4,640,732,113,500"
1630,종근당홀딩스,"42,400",-100,0.24,"1,115,937,050","154,376,280,000"
44820,코스맥스,"49,800",800,1.63,"2,605,715,100","676,917,157,200"
5690,파미셀,"3,780",10,0.27,"911,482,880","164,072,109,600"
700,한진해운홀딩스,"5,250",-50,0.94,"2,452,577,250","229,902,104,250"
3600,SK,"163,500","-3,500",2.1,"9,827,323,000","7,678,256,262,000"
4130,대덕GDS,"12,200",150,1.24,"1,719,148,550","251,022,478,600"
430,대원강업,"6,000",-180,2.91,"217,242,750","372,000,000,000"
8000,도레이케미칼,"12,650",-250,1.94,"3,298,056,250","586,502,715,150"
13570,동양기전,-,0,0.0,0,"239,389,728,480"
830,삼성물산,"61,500",100,0.16,"29,113,153,100","9,607,392,486,000"
4430,송원산업,"8,120",-110,1.34,"804,422,530","194,880,000,000"
5950,이수화학,"9,120",-30,0.33,"475,127,980","139,335,360,000"
20760,일진디스플,"6,820",-60,0.87,"1,925,895,590","193,104,480,800"
33240,자화전자,"12,350",-600,4.63,"1,671,046,700","221,065,000,000"
6380,카프로,"2,840",-30,1.05,"605,038,000","113,600,000,000"
7810,코리아써키트,"12,000",150,1.27,"5,574,207,750","283,449,012,000"
2020,코오롱,"21,300",-600,2.74,"1,735,937,600","256,903,240,500"
16800,퍼시스,"31,450",-450,1.41,"115,937,200","361,675,000,000"
51310,포스코플랜텍,"3,045",-170,5.29,"498,004,085","247,188,824,820"
10520,현대하이스코,"72,700",-700,0.95,"3,051,260,000","1,658,137,965,000"
68870,LG생명과학,"60,600","1,100",1.85,"9,755,910,700","1,004,565,594,000"
82740,두산엔진,"3,205",-15,0.47,"513,721,215","222,747,500,000"
9680,모토닉,"10,800",-100,0.92,"64,434,150","356,400,000,000"
9580,무림P&P,"4,985",-75,1.48,"689,737,870","310,906,095,140"
37620,미래에셋증권,"21,600",-150,0.69,"25,214,835,650","2,468,574,813,600"
84870,베이직하우스,"11,100",50,0.45,"601,870,650","231,510,690,900"
7860,서연,"12,700",50,0.4,"804,407,600","285,559,550,800"
33530,세종공업,"10,050",-250,2.43,"250,729,700","201,547,021,500"
480,조선내화,"86,300","-1,300",1.48,"58,447,700","345,200,000,000"
42700,한미반도체,"12,500",500,4.17,"2,088,975,800","317,910,512,500"
4150,한솔홀딩스,"6,920",10,0.14,"921,087,900","267,089,406,200"
