종목코드,종목명
25850,KPX화인케미칼
71970,STX메탈
17900,광전자
1210,금호전기
84010,대한제강
5680,삼영전자
2030,아세아시멘트
3640,유니온스틸
8730,율촌화학
64420,케이피케미칼
11810,STX
67250,STX조선해양
1130,대한제분
8040,동아원
3190,알앤엘바이오
4940,외환은행
3120,일성신약
103590,일진전기
3480,한진중공업홀딩스
25000,KPX케미칼
77970,STX엔진
53000,우리금융
103130,웅진에너지
1300,제일모직
1630,종근당홀딩스
44820,코스맥스
5690,파미셀
700,한진해운홀딩스
3600,SK
4130,대덕GDS
430,대원강업
8000,도레이케미칼
13570,동양기전
830,삼성물산
4430,송원산업
5950,이수화학
20760,일진디스플
33240,자화전자
6380,카프로
7810,코리아써키트
2020,코오롱
16800,퍼시스
51310,포스코플랜텍
10520,현대하이스코
68870,LG생명과학
82740,두산엔진
9680,모토닉
9580,무림P&P
37620,미래에셋증권
84870,베이직하우스
7860,서연
33530,세종공업
480,조선내화
42700,한미반도체
4150,한솔홀딩스
3450,현대증권
10690,화신
79980,휴비스
3570,S&T중공업
7690,국도화학
7340,동아타이어
7210,벽산
5090,삼광글라스
8490,서흥
1780,알루코
230,일동홀딩스
3200,일신방직
2620,제일약품
4700,조광피혁
5740,크라운제과
140,하이트진로홀딩스
104700,한국철강
50,경방
9290,광동제약
3030,세아제강
29530,신도리코
78520,에이블씨엔씨
4710,한솔테크닉스
34120,SBS
33920,무학
30,우리은행
36580,팜스코
3300,한일홀딩스
97230,한진중공업
6840,AK홀딩스
27410,BGF
96760,JW홀딩스
93050,LF
2240,고려제강
3920,남양유업
25860,남해화학
19680,대교
8060,대덕전자
640,동아쏘시오홀딩스
170900,동아에스티
1520,동양
2270,롯데푸드
1430,세아베스틸
3620,쌍용차
14830,유니드
25540,한국단자
2960,한국쉘석유
60980,한라홀딩스
79430,현대리바트
298040,효성중공업
7700,F&F
12630,HDC
1060,JW중외제약
108670,LG하우시스
5610,SPC삼립
8350,남선알미늄
115390,락앤락
71840,롯데하이마트
5180,빙그레
145990,삼양사
3230,삼양식품
18250,애경산업
214320,이노션
7570,일양약품
9410,태영건설
6390,한일현대시멘트
79160,CJ CGV
6120,SK디스커버리
64960,SNT모티브
2350,넥센타이어
49770,동원F&B
3000,부광약품
3520,영진약품
192400,쿠쿠홀딩스
282330,BGF리테일
138930,BNK금융지주
1040,CJ
120,CJ대한통운
97950,CJ제일제당
5830,DB손해보험
990,DB하이텍
210,DL
375500,DL이앤씨
383220,F&F
114090,GKL
78930,GS
6360,GS건설
7070,GS리테일
294870,HDC현대산업개발
267250,HD현대
204320,HL만도
11200,HMM
105560,KB금융
2380,KCC
16380,KG스틸
30200,KT
33780,KT&G
3550,LG
34220,LG디스플레이
51900,LG생활건강
373220,LG에너지솔루션
32640,LG유플러스
11070,LG이노텍
66570,LG전자
51910,LG화학
79550,LIG넥스원
6260,LS
10120,LS ELECTRIC
1120,LX인터내셔널
35420,NAVER
5940,NH투자증권
10060,OCI
178920,PI첨단소재
5490,POSCO홀딩스
10950,S-Oil
34730,SK
11790,SKC
1740,SK네트웍스
302440,SK바이오사이언스
326030,SK바이오팜
402340,SK스퀘어
361610,SK아이이테크놀로지
96770,SK이노베이션
285130,SK케미칼
17670,SK텔레콤
660,SK하이닉스
69260,TKG휴켐스
35250,강원랜드
10130,고려아연
11780,금호석유
73240,금호타이어
270,기아
