종목코드,DART_고유번호,종목명,DART_고유번호_최근변경일자,법인등록번호
003640,00140380,유니온스틸,20170630,1101110041501
064420,00399773,케이피케미칼,20170630,2301110082112
053000,00375302,우리금융지주,20170630,1101112202797
068870,00423609,LG생명과학,20170630,1101112581183
037620,00311030,미래에셋증권,20170630,1101111821423
000830,00126229,삼성물산,20170630,1101110002975
025850,00160612,한화화인케미칼,20170630,1101110234859
010520,00164469,현대하이스코,20170630,1101110302416
001300,00148328,제일모직,20170630,1701110000076
003600,00144155,SK,20170630,1101110022816
008000,00148717,도레이케미칼,20180810,1748110000151
004130,00109170,대덕GDS,20181219,1301110007640
192820,01009789,코스맥스,20211122,1348110294273
011810,00138297,STX,20211206,1942110000183
010780,00115977,아이에스동서,20211230,1101110208383
003570,00134477,SNT중공업,20211201,1101110042880
103130,00609485,웅진에너지,20211201,1601110214702
010140,00126478,삼성중공업,20211210,1101110168595
033530,00134510,세종공업,20211129,1812110000758
001680,00121941,대상,20211202,1101110327125
005180,00124726,빙그레,20211202,1152110000287
006650,00260383,대한유화,20211202,1101110024698
009290,00103592,광동제약,20211210,1101110152134
071970,00406046,STX중공업,20211210,1942110048381
096760,00632304,JW홀딩스,20211130,1101113710468
000140,00148993,하이트진로홀딩스,20220104,1101110013766
068270,00413046,셀트리온,20220104,1350110034038
402340,01596425,SK스퀘어,20220105,1101118077821
079430,00300548,현대리바트,20211203,1345110034097
084010,00113225,대한제강,20211207,1801110003268
003030,00124197,세아제강지주,20220106,1101110118996
002960,00158149,한국쉘석유,20211203,1801110002591
007210,00122898,벽산,20211213,1101110113384
018880,00161125,한온시스템,20220106,1347110002206
028670,00122737,팬오션,20220106,1101110004286
105630,00728638,한세실업,20211206,1201110484303
008490,00131692,서흥,20211206,1243110004252
003410,00138224,쌍용씨앤이,20220107,1101110037823
093050,00593032,LF,20220107,1101113555187
105560,00688996,KB금융,20211207,1101113975517
005940,00120182,NH투자증권,20220110,1101110098130
329180,01390344,현대중공업,20220110,2301110312741
010060,00148896,OCI,20211207,1746110000981
021240,00170558,코웨이,20211210,1101110626501
008060,00109189,대덕,20211210,1301110007608
001120,00120076,LX인터내셔널,20211221,1101110004632
004940,00158909,하나은행,20220113,1101110672538
375500,01524093,DL이앤씨,20220113,1101117736808
032350,00231372,롯데관광개발,20211210,1101110115504
009680,00151128,모토닉,20211125,1101110161317
014830,00159786,유니드,20211203,1101110275069
011780,00106368,금호석유화학,20211222,1101110205975
028260,00149655,삼성물산,20211206,1101110015762
034120,00130772,SBS,20211227,1101110731483
003300,00162993,한일홀딩스,20220215,1101110040165
032830,00126256,삼성생명,20211206,1101110005953
000810,00139214,삼성화재해상보험,20220103,1101110005078
010950,00138279,S-Oil,20211202,1101110189955
000100,00145109,유한양행,20220124,1101110014409
003450,00164876,케이비증권,20220103,1101110042476
034730,00181712,SK,20220103,1101110769583
005300,00120571,롯데칠성음료,20220104,1101110003684
003670,00155276,포스코케미칼,20220210,1746110001947
161390,00937324,한국타이어앤테크놀로지,20220110,1101114952093
138930,00858364,BNK금융지주,20220110,1801110750893
001450,00164973,현대해상,20220110,1101110035893
039490,00296290,키움증권,20220110,1101111867948
090430,00583424,아모레퍼시픽,20220210,1101113471036
251270,00904672,넷마블,20220210,1101114731299
018260,00126186,삼성에스디에스,20220111,1101110398556
000270,00106641,기아,20220112,1101110037998
005090,00125150,SGC에너지,20220128,1101110079817
097230,00633835,HJ중공업,20220114,1801110602507
004020,00145880,현대제철,20220114,1201110001743
012330,00164788,현대모비스,20220114,1101110215536
010130,00102858,고려아연,20211221,1101110168404
000030,00254045,우리은행,20211230,1101110023393
004800,00117188,효성,20211230,1101110030497
044820,00219574,코스맥스비티아이,20211130,1348110018641
033780,00244455,케이티앤지,20210823,1601110067804
001230,00114792,동국제강,20220103,1101110031338
029780,00126292,삼성카드,20220106,1101110346901
007310,00141529,오뚜기,20211210,1341110002258
003920,00107598,남양유업,20211215,1101110092976
030000,00148276,제일기획,20220214,1101110139017
300720,01319808,한일시멘트,20220215,1101116799203
009420,00162586,한올바이오파마,20211220,1641110000397
082740,00361008,HSD엔진,20211222,1942110038423
069620,00427483,대웅제약,20220104,1348110075342
004710,00157399,한솔테크닉스,20220216,1101110004682
108670,00759513,LX하우시스,20220107,1101114071207
073240,00481454,금호타이어,20220118,1101112810590
086280,00360595,현대글로비스,20220113,1101112177388
051910,00356361,LG화학,20220114,1101112207995
139480,00872984,이마트,20220114,1101114594952
028050,00126308,삼성엔지니어링,20220114,1101110240509
207940,00877059,삼성바이오로직스,20211213,1201110566317
000700,00163691,유수홀딩스,20211213,1101110003262
000230,00146083,일동홀딩스,20211213,1101110012776
029530,00135795,신도리코,20220124,1101110034960
027410,00219097,BGF,20211207,1101111105215
025540,00157070,한국단자공업,20211207,1201110002957
005850,00125521,에스엘,20211207,1701110000034
011070,00105961,LG이노텍,20211201,1101110192180
003490,00113526,대한항공,20211221,1101110108484
006840,00125080,AK홀딩스,20211227,1101110029721
316140,01350869,우리금융지주,20211208,1101116981206
007690,00104388,국도화학,20211208,1101110126642
064350,00302926,현대로템,20211207,1942110036336
042700,00161383,한미반도체,20211208,1201110038423
057050,00412597,현대홈쇼핑,20211229,1101112248882
000080,00150244,하이트진로,20211229,1101110028591
002240,00103006,고려제강,20211214,1801110001220
006360,00120030,GS건설,20211201,1101110002694
001040,00148540,CJ,20220215,1101110015639
047050,00124504,포스코인터내셔널,20220105,1101112137358
005830,00159102,DB손해보험,20220105,1101110095285
010690,00166315,화신,20220216,1701110014936
005740,00153126,크라운해태홀딩스,20220217,1101110093552
001630,00149354,종근당홀딩스,20211214,1101110028955
036580,00260408,팜스코,20220105,1311110042950
071050,00432102,한국금융지주,20220105,1101112691651
079550,00503668,LIG넥스원,20220105,1101111516933
007700,00126487,F&F 홀딩스,20220121,1101110126783
017670,00159023,SK텔레콤,20220119,1101110371346
035250,00255619,강원랜드,20211221,1449110001666
016360,00104856,삼성증권,20220112,1101110335649
009240,00161693,한샘,20220118,1341110003595
005440,00105280,현대그린푸드,20220217,1101110095201
007860,00163114,서연,20220217,1101110129026
383220,01568413,F&F,20220216,1101117875440
001130,00113243,대한제분,20211209,1101110003733
000720,00164478,현대건설,20211229,1101110007909
000990,00160843,DB하이텍,20220216,1101110026206
008770,00165680,호텔신라,20220111,1101110145519
019170,00137359,신풍제약,20220216,1301110011815
033240,00146861,자화전자,20220125,1501110005955
241590,01128613,화승엔터프라이즈,20211129,1101115891943
020000,00188089,한섬,20220215,1101110531578
084870,00409672,티비에이치글로벌,20211202,1801110346204
214320,00565154,이노션,20220215,1101113229097
007570,00146454,일양약품,20211123,1101110124802
079980,00362238,휴비스,20211203,1101112102070
071840,00158307,롯데하이마트,20211203,1101110532633
005680,00127200,삼영전자공업,20220221,1311110000205
009580,00119007,무림P&P,20220224,1812110002548
097950,00635134,CJ제일제당,20220221,1101113748253
026960,00144395,동서,20220222,1101110180888
005690,00145163,파미셀,20220218,1601110005177
067250,00109453,케이조선,20220223,1801110002814
192080,01010110,더블유게임즈,20220221,1101114855924
002620,00148443,제일파마홀딩스,20220222,1101110026652
006390,00164672,한일현대시멘트,20220224,1101110111867
103140,00684714,풍산,20220221,1313110083497
000050,00101628,경방,20220224,1101110013287
185750,00992871,종근당,20220221,1101115260669
004700,00148939,조광피혁,20220221,1501110001036
000480,00148984,조선내화,20220225,2011110000440
001520,00117337,동양,20220225,1101110005333
001440,00113207,대한전선,20220223,1101110035835
017900,00152729,광전자,20220223,2149110002560
093370,00595191,후성,20220224,1314110189425
081660,00195229,휠라홀딩스,20220223,1101110792667
003120,00146214,일성신약,20220224,1101110039019
114090,00557508,GKL,20220224,1101113301457
005950,00145552,이수화학,20220223,1101110008600
013570,00117179,디와이,20220224,1942110000472
049770,00340917,동원F&B,20220222,1101112101816
003200,00146269,일신방직,20220228,1101110041717
001800,00117577,오리온홀딩스,20220225,1101110004690
008730,00145260,율촌화학,20220221,1101110145147
104700,00687711,한국철강,20220222,1942110094318
005930,00126380,삼성전자,20220509,1301110006246
006400,00126362,삼성SDI,20220318,1101110394174
012750,00158501,에스원,20220318,1101110221939
011170,00165413,롯데케미칼,20221005,1101110193196
034020,00159616,두산에너빌리티,20220524,1942110000943
000210,00109693,DL,20220708,1101110084915
103590,00683469,일진전기,20221012,1348110159279
009540,00164830,한국조선해양,20220502,1812110000386
002350,00173874,넥센타이어,20220708,1101110014219
111770,00776820,영원무역,20220603,1101114129585
003480,00163673,한진중공업홀딩스,20220603,1101110110083
051600,00159218,한전KPS,20220720,1101110371148
023530,00120526,롯데쇼핑,20220526,1101110000086
033920,00121543,무학,20220708,1901110002721
298050,01316254,효성첨단소재,20220603,1101116770170
005490,00155319,POSCO홀딩스,20220603,1746110000741
000150,00117212,두산,20220725,1101110013774
032640,00231363,LG유플러스,20220915,1101111296676
192400,00132354,쿠쿠홀딩스,20220502,1845110000634
024110,00149646,기업은행,20220727,1101350000903
004000,00157681,롯데정밀화학,20221014,1812110000013
003230,00126955,삼양식품,20220324,1101110034308
004490,00133858,세방전지,20220324,1101110202765
051900,00356370,LG생활건강,20220628,1101112208000
000670,00141307,영풍,20220324,1101110003824
005610,00125530,SPC삼립,20220317,1101110090516
009150,00126371,삼성전기,20220317,1301110001626
115390,00561866,락앤락,20221018,1648110035647
007070,00140177,GS리테일,20220411,1101110090037
352820,01204056,하이브,20220404,1101113166546
001430,00106669,세아베스틸지주,20220805,1101110035794
161890,00939331,한국콜마,20220818,1647110030756
373220,01515323,LG에너지솔루션,20220517,1101117701356
003850,00123143,보령,20220822,1101110012560
030200,00190321,케이티,20220415,1101111468754
060980,00299002,HL홀딩스,20221004,1313110030042
011200,00164645,HMM,20220826,1101110193740
039130,00269940,하나투어,20220517,1101110981038
361610,01386916,SK아이이테크놀로지,20220331,1101117064217
003090,00111810,대웅,20220502,1311110000271
271560,01238169,오리온,20220325,1101116417805
013890,00150633,지누스,20220401,1347110002553
003240,00153393,태광산업,20220725,1101110185276
025860,00107987,남해화학,20220630,1101110164717
381970,01323032,케이카,20220811,1101116583490
137310,00854997,에스디바이오센서,20220516,1358110191121
077970,00480455,STX엔진,20220729,1942110066763
377300,01244601,카카오페이,20220503,1311110478337
006120,00131832,SK디스커버리,20220330,1301110005727
001060,00149947,JW중외제약,20220330,1101110019342
031430,00234412,신세계인터내셔날,20220330,1101110282402
018250,00139454,애경산업,20220516,1101110398275
001210,00106395,금호전기,20220608,1101110028541
055550,00382199,신한지주,20220413,1101112322438
